Author,Title,Publication Year,Abstract Note,SOURCE
a. marchenko,The impact of host race and gender on prices on Airbnb,2019,,10.1016/J.JHE.2019.101635
a. hanson zackary b. hawley,Do landlords discriminate in the rental housing market? Evidence from an internet field experiment in US cities,2010,,10.1016/J.JUE.2011.02.003
a. hanson zackary b. hawley hal martin bo liu,Discrimination in mortgage lending: Evidence from a correspondence experiment☆,2016,,10.1016/J.JUE.2015.12.004
david s. pedulla,"Emerging Frontiers in Audit Study Research: Mechanisms, Variation, and Representativeness",2018,,10.1007/978-3-319-71153-9_9
i. ellen stephen l. ross,Race and the City,2018,,10.1016/J.JHE.2018.05.001
lincoln quillian john j. lee brandon honoré,"Racial Discrimination in the U.S. Housing and Mortgage Lending Markets: A Quantitative Review of Trends, 1976–2016",2020,,10.1007/s12552-019-09276-x
"N. Sehgal, D. Svirsky",Race Discrimination in Internet Advertising: Evidence From a Field Experiment,2023,,data/insta_short.pdf
s. m. gaddis,An Introduction to Audit Studies in the Social Sciences,2017,,10.1007/978-3-319-71153-9_1
k. arrow,The Theory of Discrimination,1971,,10.1515/9781400867066-003
"J. L. Doleac, L. C. D. Stein",The Visible Hand: Race and Online Market Outcomes,2013,,data/insta_short.pdf
a. hanson zackary b. hawley,"Restricted Access: Real Estate Agent Response to Client Race, Ethnicity, Gender and Side of Market",2023,,10.2139/ssrn.4373511
venoo kakar j. voelz j. wu j. franco,The Visible Host: Does race guide Airbnb rental rates in San Francisco?,2017,,10.1016/J.JHE.2017.08.001
max besbris jacob w. faber peter m. rich p. sharkey,The Geography of Stigma: Experimental Methods to Identify the Penalty of Place,2018,,10.1007/978-3-319-71153-9_8
moshe a. barach a. kaul ming d. leung sibo lu,1 Small numbers bargaining in the age of big data : Evidence from a two-sided labor matching platform,2018,,10.2139/ssrn.3277455
brad n. greenwood idris adjerid corey m. angst,How Unbecoming of You: Gender Biases in Perceptions of Ridesharing Performance,2018,"The advent of the Internet and the digitization of commerce have provided both a mechanism by which goods and services can be exchanged, as well as an efficient way for consumers to voice their opi...",10.5465/AMBPP.2018.12196ABSTRACT
d. aigner g. cain,Statistical Theories of Discrimination in Labor Markets,1977,Examines economic discrimination in labor markets using a stochastic model. Analysis of several types of economic discrimination within the context of competitive market assumptions; Empirical plausibility and implications of the alternative models of economic discrimination; Role of statistical theories in the explanation of labor market discrimination. (Abstract copyright EBSCO.),10.1177/001979397703000204
