Author,Title,Publication Year,Abstract Note,SOURCE
Airbnb,Airbnb Announces ‘Veriﬁed Identi ﬁcation,2013,,data/airbnb.pdf --> https://news.airbnb.com/an-update-on-identity-verification-on-airbnb/
logi karlsson a. kemperman s. dolnicar,May I sleep in your bed? Getting permission to book,2021,,10.1016/J.ANNALS.2016.10.002 --> https://www.researchgate.net/publication/310841451_May_I_sleep_in_your_bed_Getting_permission_to_book
"Y. Ge, C. R. Knittel, D. MacKenzie, S. Zoepf",Racial and Gender Discrimination in Transportation Network Companies,2020,,data/airbnb.pdf --> https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2861708
r. haase susanne kytzia,Mietertragspotenziale,2007,,10.1080/02513625.2007.10556975 --> https://pubmed.ncbi.nlm.nih.gov/trending/
D. Guttentag,Airbnb: Disruptive Innovation and the Rise of an Informal Tourism Accommodation Sector,2013,,data/airbnb.pdf --> https://www.researchgate.net/publication/271624904_Airbnb_Disruptive_innovation_and_the_rise_of_an_informal_tourism_accommodation_sector
"B. Jaeger, W. W. A. Sleegers, A. M. Evans",Automated Classification of Demographics from Face Images: A Tutorial and Validation,2020,,data/airbnb.pdf --> https://pure.uvt.nl/ws/files/38344869/SP_Jaeger_automated_classification_of_demographics_SaPPC_2020.pdf
"J. F. Dovidio, M. Hewstone, P. Glick, V. M. Esses","Prejudice, Stereotyping and Discrimination: Theoretical and Empirical Over-view",2010,,data/airbnb.pdf --> https://www.researchgate.net/publication/285313079_Prejudice_stereotyping_and_discrimination_Theoretical_and_empirical_overview
"C. C. Eckel, R. Petrie",Face Value,2011,,data/airbnb.pdf --> https://www.aeaweb.org/articles?id=10.1257/aer.101.4.1497
G. S. Becker,The Economics of Discrimination,2010,,data/airbnb.pdf --> https://link.springer.com/10.1057/978-1-349-95121-5_2067-1
"N. Köbis, I. Soraperra, S. Shalvi",The Consequences of Participating in the Sharing Economy: A Systematic Literature Review,2020,,data/airbnb.pdf --> https://journals.sagepub.com/doi/full/10.1177/0149206320967740
matthew v. law mor naaman nicola dell,ShareBox,2018,,10.1145/3196709.3196763 --> https://pubmed.ncbi.nlm.nih.gov/31642882/
"J. L. Doleac, L. C. D. Stein",The Visible Hand: Race and Online Market Outcomes,2013,,data/airbnb.pdf --> https://onlinelibrary.wiley.com/doi/abs/10.1111/ecoj.12082
Airbnb,A New Way We ’re Fighting Discrimination on Airbnb,2020,,data/airbnb.pdf --> https://www.airbnb.com/resources/hosting-homes/a/a-new-way-were-fighting-discrimination-on-airbnb-201
