Author,Title,Publication Year,Abstract Note,SOURCE
"Gaddis, S. Michael, and Raj Ghoshal",A Racial Stratification System for the 21st Century: The Causes and Consequences of Discrimination among Millennials in Two Experiments,2017,,data/audit.pdf --> https://soc.ucla.edu/wp-content/uploads/2020/12/smig_c.v._7-19.pdf
"David J. Deming, Noam Yuchtman, Amira Abulaﬁ, Claudia Goldin, Lawrence F. Katz",The Value of Postsecondary Credentials in the Labor Market: An Experimental,2016,,data/audit.pdf --> https://www.aeaweb.org/articles?id=10.1257/aer.20141757
"Colin S. Campbell, S. Michael Gaddis",‘I Don’t Agree with Giving Cash’: A Survey Experiment Examining Support for Public Assistance,Forthcoming,,data/audit.pdf --> https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2599513
"j. heckman, peter siegelman,",The Urban Institute Audit Studies: Their Methods and Findings,1993,,data/audit.pdf --> https://www.semanticscholar.org/paper/The-Urban-Institute-Audit-Studies%3A-Their-Methods-Heckman-Siegelman/bb523775490d252f7a84fe8030748f9faad6773a
scott a. wright j. goodman,Mechanical Turk in Consumer Research,2019,,10.4324/9781351137713-18 --> https://www.taylorfrancis.com/chapters/edit/10.4324/9781351137713-18/mechanical-turk-consumer-research-scott-wright-joseph-goodman
"Steven D. Levitt, Stephen J. Dubner",Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,2005,,data/audit.pdf --> https://en.wikipedia.org/wiki/Freakonomics
"Gaddis, S. Michael","A Field Experiment on Associate Degrees and Certificates: Statistical Discrimination, Stigma, Signal Boost, and Signal Saturation",2016,,data/audit.pdf --> https://psu-us.academia.edu/SMichaelGaddis/CurriculumVitae
"Heckman, James J.",Detecting Discrimination,1998,,data/audit.pdf --> https://www.aeaweb.org/articles?id=10.1257/jep.12.2.101
"rajiv sharma, a. mitra, m. stano,","Insurance, race/ethnicity, and sex in the search for a new physician",2015,,data/audit.pdf --> https://pdxscholar.library.pdx.edu/cgi/viewcontent.cgi?article=1038&context=econ_fac
"Dowling, Conor, and Michael G. Miller",Experimental Evidence on the Relationship Between Interest Group Funding and Candidate Vote Share,2016,,data/audit.pdf --> https://www.cambridge.org/core/journals/journal-of-experimental-political-science/article/experimental-evidence-on-the-relationship-between-candidate-funding-sources-and-voter-evaluations/1406498692CAB3AB3F913D0D176CBFBC
"a. hanson, zackary b. hawley, hal martin, bo liu,",Discrimination in mortgage lending: Evidence from a correspondence experiment☆,2016,,data/audit.pdf --> https://epublications.marquette.edu/econ_fac/555/
arne weigold ingrid k. weigold mi-seon jang emily m. thornton,College students’ and Mechanical Turk workers’ environmental factors while completing online surveys,2021,,10.1007/s11135-021-01237-0 --> https://www.researchgate.net/publication/354610998_College_students'_and_Mechanical_Turk_workers'_environmental_factors_while_completing_online_surveys
"Joleen Kirschenman, Kathryn M. Neckerman",‘We’d Love to Hire Them But...’: The Meaning of Race to Employers,1991,,data/audit.pdf --> https://www.taylorfrancis.com/chapters/edit/10.4324/9780429497896-16/love-hire-joleen-kirshenman-kathryn-neckerman
d. chandler a. kapelner,Breaking Monotony with Meaning: Motivation in Crowdsourcing Markets,2012,,10.1016/j.jebo.2013.03.003 --> https://arxiv.org/abs/1210.0962
kyle a. thomas scott clifford,Validity and Mechanical Turk: An assessment of exclusion methods and interactive experiments,2017,Highlights • Online participant recruitment has led to persistent concerns about data quality. • Online participants are just as attentive as participants recruited offline. • Online participants buy into experimental social interactions as much as in the lab. • Rigorous exclusion methods can be used to improve data quality online and offline.,10.1016/j.chb.2017.08.038 --> https://www.sciencedirect.com/science/article/pii/S074756321730506X
"rajeev darolia, c. koedel, paco martorell, katie wilson, f. perez-arce,",Race and gender effects on employer interest in job applicants: new evidence from a resume field experiment,2016,ABSTRACT We sent nearly 9000 fictitious resumes to advertisements for job openings in seven major cities in the United States across six occupational categories. We randomly assigned names to the resumes that convey race and gender but for which a strong socio-economic connotation is not implicated. We find little evidence of systematic employer preferences for applicants from particular race and gender groups.,data/audit.pdf
neil stewart jesse j. chandler gabriele paolacci,Crowdsourcing Samples in Cognitive Science,2017,"Crowdsourcing data collection from research participants recruited from online labor markets is now common in cognitive science. We review who is in the crowd and who can be reached by the average laboratory. We discuss reproducibility and review some recent methodological innovations for online experiments. We consider the design of research studies and arising ethical issues. We review how to code experiments for the web, what is known about video and audio presentation, and the measurement of reaction times. We close with comments about the high levels of experience of many participants and an emerging tragedy of the commons.",10.1016/j.tics.2017.06.007 --> https://pubmed.ncbi.nlm.nih.gov/28803699/
"a. hanson, zackary b. hawley,",Do landlords discriminate in the rental housing market? Evidence from an internet field experiment in US cities,2010,"This paper tests for racial discrimination in the rental housing market using matched-pair audits conducted via e-mail for rental units advertised on-line. We reveal home-seekers’ race to landlords by sending e-mails from names with a high likelihood of association with either whites or African Americans. Generally, discrimination occurs against African American names; however, when the content of the e-mail messages insinuates home-seekers with high social class, discrimination is non-existent. Racial discrimination is more severe in neighborhoods that are near “tipping points” in racial composition, and for units that are part of a larger building.",data/audit.pdf --> https://www.sciencedirect.com/science/article/pii/S0094119011000179
gabriele paolacci jesse j. chandler,Inside the Turk,2014,"Mechanical Turk (MTurk), an online labor market created by Amazon, has recently become popular among social scientists as a source of survey and experimental data. The workers who populate this market have been assessed on dimensions that are universally relevant to understanding whether, why, and when they should be recruited as research participants. We discuss the characteristics of MTurk as a participant pool for psychology and other social sciences, highlighting the traits of the MTurk samples, why people become MTurk workers and research participants, and how data quality on MTurk compares to that from other pools and depends on controllable and uncontrollable factors.",10.1177/0963721414531598
s. e. woo melissa g. keith meghan a. thornton,"Amazon Mechanical Turk for Industrial and Organizational Psychology: Advantages, Challenges, and Practical Recommendations",2015,"We are in almost full agreement with Landers and Behrend's (2015) thoughtful and balanced critiques of various convenience sampling strategies focusing on the four most frequently used data sources in our field. In this commentary, we expand on Landers and Behrend's discussions specifically around Mechanical Turk (MTurk) by providing further supporting voice and/or clarity to the four potential concerns and relative advantages associated with MTurk. We also raise a few additional concerns and challenges to which the current literature does not yet offer definitive answers. We conclude with some practical guidelines summarizing the relative advantages and unique challenges of using MTurk.",10.1017/iop.2015.21
matt lovett saleh bajaba myra lovett marcia j. simmering,Data Quality from Crowdsourced Surveys: A Mixed Method Inquiry into Perceptions of Amazon's Mechanical Turk Masters,2018,"Researchers in the social sciences are increasingly turning to online data collection panels for research purposes. While there is evidence that crowdsourcing platforms such as Amazon s Mechanical Turk can produce data as reliable as more traditional survey collection methods, little is known about Amazon s Mechanical Turk s most experienced respondents, their perceptions of crowdsourced data, and the degree to which these affect data quality. The current study utilises both quantitative and qualitative data to investigate Amazon s Mechanical Turk Masters perceptions and attitudes related to the data quality (e.g. inattention). Recommendations for researchers using crowdsourcing data are provided.",10.1111/apps.12124
