Author,Title,Publication Year,Abstract Note,SOURCE
Airbnb,Airbnb Announces ‘Veriﬁed Identi ﬁcation,2013,,data/airbnb.pdf  --> https://www.airbnb.com/help/article/1237
max besbris jacob w. faber peter m. rich p. sharkey,The Geography of Stigma: Experimental Methods to Identify the Penalty of Place,2018,"The United States remains a spatially segregated nation by many mea- sures including race, income, wealth, political views, education, and immigration status. Scholars have, for many years, grappled with questions stemming from spa- tial inequality and have come to recognize the neighborhood in which an individual lives as a socially organizing unit of space, predictive of many individual-level out- comes. The mechanisms that underlie the relationship between neighborhoods and outcomes for residents, however, remain relatively underexplored. In this chapter, we show how the use of audits and field experiments can help uncover one such mechanism—place-based stigma in social interactions. Specifically, we describe the methodology of a previous study (Besbris M, Faber JW, Rich P, Sharkey P, Effect of neighborhood stigma on economic transactions. Proc Nat Acad Sci 112:4994–4998, 2015) that revealed how signaling residence in a poor community of color negatively affected sellers’ ability to attract buyers in a classified market- place. We focus on the study’s operationalization of neighborhoods and show how future research can use non-individual-level treatment characteristics such as units of space. Doing so helps us better understand the causal relationship between space and individual-level outcomes, as well as better parse the effects of individual-level variables versus non-individual-level variables, which are often conflated in non- experimental research. We close by suggesting the implementation of field experi- ments in testing for effects at other geographic scales, such as metropolitan area, state, region, country, or continent.",10.1007/978-3-319-71153-9_8 --> https://text2fa.ir/wp-content/uploads/Text2fa.ir-The-Geography-of-Stigma-Experimental.pdf
a. hanson zackary b. hawley,"Restricted Access: Real Estate Agent Response to Client Race, Ethnicity, Gender and Side of Market",2023,"We design and implement a correspondence experiment to test for differences in real estate agent response across client race, ethnicity, gender, and side of market. Real estate agents are more likely to respond to White clients than Black or Hispanic clients—Whites have a 32.18% higher response rate than Hispanics and an 8.48% higher response rate than Black clients. We also find that real estate agents are more responsive to sellers (23.81% premium over buyers) and female clients (13.57% premium over males).",10.2139/ssrn.4373511 --> https://onlinelibrary.wiley.com/doi/full/10.1111/1540-6229.12438
k. arrow,The Theory of Discrimination,1971,,10.1515/9781400867066-003 --> https://www.degruyter.com/document/doi/10.1515/9781400867066-003/html?lang=en
"N. Sehgal, D. Svirsky",Race Discrimination in Internet Advertising: Evidence From a Field Experiment,2023,,data/insta_short.pdf --> https://www.socialscienceregistry.org/trials/9168
d. chandler a. kapelner,Breaking Monotony with Meaning: Motivation in Crowdsourcing Markets,2012,"Highlights • We conduct the first natural field experiment to explore the relationship between the “meaningfulness” of a task and worker effort.  • We found that increasing the meaningfulness of a task increased the quantity of output with no change in quality.  • We found that decreasing the meaningfulness of a task decreased the quality of output with no change in quantity.  • Our study introduces MTurk as an exciting platform for running natural field experiments in economics.   Abstract We conduct the first natural field experiment to explore the relationship between the “meaningfulness” of a task and worker effort. We employed about 2500 workers from Amazon's Mechanical Turk (MTurk), an online labor market, to label medical images. Although given an identical task, we experimentally manipulated how the task was framed. Subjects in the meaningful treatment were told that they were labeling tumor cells in order to assist medical researchers, subjects in the zero-context condition (the control group) were not told the purpose of the task, and, in stark contrast, subjects in the shredded treatment were not given context and were additionally told that their work would be discarded. We found that when a task was framed more meaningfully, workers were more likely to participate. We also found that the meaningful treatment increased the quantity of output (with an insignificant change in quality) while the shredded treatment decreased the quality of output (with no change in quantity). We believe these results will generalize to other short-term labor markets. Our study also discusses MTurk as an exciting platform for running natural field experiments in economics.",10.1016/j.jebo.2013.03.003  --> https://arxiv.org/abs/1210.0962
"Joleen Kirschenman, Kathryn M. Neckerman",‘We’d Love to Hire Them But...’: The Meaning of Race to Employers,1991,,data/audit.pdf  --> https://www.taylorfrancis.com/chapters/edit/10.4324/9780429497896-16/love-hire-joleen-kirshenman-kathryn-neckerman
arne weigold ingrid k. weigold mi-seon jang emily m. thornton,College students’ and Mechanical Turk workers’ environmental factors while completing online surveys,2021,"Few studies have investigated the environmental factors of participants completing online self-report surveys, such as the presence of others and engagement in multitasking. The current study examined the environmental factors of 1023 participants drawn from two popular convenience populations—college students (n = 512) and Mechanical Turk workers (n = 511). All participants completed online measures of computer self-efficacy, the five-factor model of personality, and social desirability, as well as a questionnaire about their environment and activities when completing the measures. The two samples differed in terms of environmental factors, with college students significantly more likely to report: (1) being in a location other than their place of residence, (2) interacting with others, (3) being interrupted, (4) engaging in multitasking, (5) being under the influence of alcohol or other substances, and (6) completing the study using a laptop computer. The presence of others interacted with sample to predict personality and social desirability scores. Additionally, both presence of others and engaging in multitasking predicted longer completion time.",10.1007/s11135-021-01237-0  --> https://www.researchgate.net/publication/354610998_College_students'_and_Mechanical_Turk_workers'_environmental_factors_while_completing_online_surveys
moshe a. barach a. kaul ming d. leung sibo lu,1 Small numbers bargaining in the age of big data : Evidence from a two-sided labor matching platform,2018,"In this study, we examine how firms engage with the big data capabilities of two-sided matching platforms. While such platforms can use artificial intelligence (AI) and big data techniques to help firms find better transaction partners, the effectiveness of these technologies depends on the concentration of transactions undertaken on the platform. These big data technologies that enable two-sided matching platforms to create value also give rise to a small numbers bargaining problem, as users become increasingly dependent on the platform to find transaction partners. We argue that firms deal with this appropriation challenge through strategies of partial reliance: they make use of the platform’s AI driven recommendations to identify an initial set of generally acceptable partners, then rely on their own internal capabilities to select the best firm-specific match. We test this argument in the context of an online labor platform, using a regression discontinuity design to causally identify the effect of the platform’s recommendations on the hiring choices of firms at every stage of the recruiting process. Consistent with our theory, we find that firms rely heavily on the platform’s recommendations when screening job applicants to view, but ignore these recommendations when deciding whom to hire from among those interviewed, with the reliance on the platform’s recommendations being weaker for more specialized jobs and for more experienced employers. The study contributes to our understanding of how firms use big data technologies, highlighting the challenges these technologies pose for organizational governance and scope choice, and providing a bridge between research on AI and big data and work on two-sided markets.",10.2139/ssrn.3277455 --> https://mackinstitute.wharton.upenn.edu/wp-content/uploads/2019/04/Barach-Moshe-Kaul-Aseem-Leung-Ming-and-Lu-Sibo_Small-Numbers-Bargaining-in-the-Age-of-Big-Data.-Evidence-from-a-Two-Sided-Labor-Matching-Platform.pdf
"Gaddis, S. Michael, and Raj Ghoshal",A Racial Stratification System for the 21st Century: The Causes and Consequences of Discrimination among Millennials in Two Experiments,2017,,data/audit.pdf  --> https://archive.soc.ucla.edu/event/job-talk-michael-gaddis
