Unnamed: 0.1,Unnamed: 0,Author,Title,Publication Year,Abstract Note,SOURCE,Abstract Note Length
0,76,"Cattell, R. B.",Higher order factor structures and reticular vs. hierarchical formula for their interpretation,1965,,data/mutualism.pdf --> https://faculty.wharton.upenn.edu/wp-content/uploads/2012/04/7306_Higher_Order_Factor_Analysis_in.pdf,0
1,71,j. bruno j. stachowicz m. bertness,Inclusion of facilitation into ecological theory,2003,"Investigations of the role of competition, predation and abiotic stress in shaping natural communities were a staple for previous generations of ecologists and are still popular themes. However, more recent experimental research has uncovered the largely unanticipated, yet striking influence of facilitation (i.e. positive species interactions) on the organization of terrestrial and aquatic communities. Modern ecological concepts and theories were well established a decade before the current renaissance of interest in facilitation began, and thus do not consider the importance of a wide variety of facilitative interactions. It is time to bring ecological theory up to date by including facilitation. This process will not be painless because it will fundamentally change many basic predictions and will challenge some of our most cherished paradigms. But, ultimately, revising ecological theory will lead to a more accurate and inclusive understanding of natural communities.",data/mutualism.pdf,0
2,99,A. R. Jensen,Thegfactor: The science of mental ability,1998,"Jensen provides a comprehensive treatment of one of the major constructs of behavioral science—general mental ability—labeled the g factor by its discoverer—C. Spearman. The g factor is about individual differences in mental abilities. In factor analyses of any and every large and diverse collection of measures of mental abilities, however varied the content of knowledge and skills they call upon, g emerges as the largest, most general source of differences between individuals and between certain subpopulations. Jensen explains the psychometric, statistical, genetic, and physiological basis of g, as well as the major theoretical challenges to the concept.",data/mutualism.pdf --> https://emilkirkegaard.dk/en/wp-content/uploads/The-g-factor-the-science-of-mental-ability-Arthur-R.-Jensen.pdf,0
3,42,j. gower d. lawley a. e. maxwell,Factor Analysis as a Statistical Method. 2nd ed.,1972,,data/mutualism.pdf --> https://www.semanticscholar.org/paper/Factor-Analysis-as-a-Statistical-Method.-2nd-ed.-Gower-Lawley/bcf16685fb1a401dbbbe2892af251cc887baacd4,0
4,97,L. S. Gottfredson,Where and why gmatters: Not a mystery,2002,"Explains g as being the highly general capability for processing complex information of any type, explaining its value in predicting job performance. And, as complexity is the major distinction among jobs, g is more important further up the occupational hierarchy. The author discusses the generability and stability of the g factor, its meaning as a construct, and the complexity factor among jobs.",data/mutualism.pdf --> https://www.tandfonline.com/doi/abs/10.1080/08959285.2002.9668082,0
5,44,"H. L. J. van der Maas, B. Hopkins",Developmental transitions,1998,"Structural approaches to development, such as Piaget's stage theory, have proved to be problematic in dealing with developmental transitions. More promising in this respect are models of qualitative change that address macroscopical phase shifts in non‐linear dynamical systems that arise from quantitative changes at the microscopical level. In this introductory paper, we attempt to clarify the meanings of some of the core terms used in these models so as to set the scene for the subsequent contributions. We stress the relevance of recent advances in catastrophe theory for detecting developmental transitions and suggest that the concept of self‐organization as formulated in irreversible thermodynamics provides a framework for explaining them. As yet, there is a lack of convincing evidence that transitions of interest to developmental psychologists comply with principles of self‐organization that have become well established for time‐evolving systems in other disciplines such as chemistry and biology. Demonstrations of self‐organization in psychologically relevant simulation models are a first step in attaining such evidence. In this special issue, we concentrate primarily on a common approach to the detection of transitions across a number of domains of development. However, in doing so illustrations are given of the ways in which the hypothesis of self‐organization can be used to account for the mechanisms of developmental transitions.",data/mutualism.pdf --> https://www.studeersnel.nl/nl/document/universiteit-utrecht/culture-and-development/hoofdstuk-5-developmental-transitions/1166266,0
6,45,p. geert,Dynamic systems approaches and modeling of developmental processes.,2003,"The notion of development plays an important role in cultural, political and personal discourse. For instance, in the newspaper, we read about the problems of developing countries. At another level, personal development is considered an important issue and people spend considerable effort in promoting their development and that of others for whom they have responsibility. The notion of development has subtle and diverse meanings, which are reasonably adequately covered by everyday language. Scientific discourse about development as such, apart from the technical aspects of applying it to one or other specific domain of inquiry, is not much better developed, if at all, than its everyday counterpart. It might be interesting, therefore, to look at the intuitive meaning of the notion of development, in an attempt to uncover aspects that might be worth considering in more formal, scientific approaches. One way to do so is to look at the original meaning of the word'development', its etymology.",data/mutualism.pdf --> https://www.paulvangeert.nl/publications_files/Handbook%20Valsiner%20and%20Conolly.pdf,0
7,91,"Ackerman, P. L., & Lohman, D. F.",Education and g,2003,"This chapter highlights the central conceptual issues associated with evaluating the relationship between education and intelligence. The notion that intelligence influences educational success has been taken as a given among most theorists and researchers over the past century. The corpus of data suggests that both propositions are likely to be true to one degree or another, especially in terms of IQ test scores. The verisimilitude of these propositions, though, is most clearly demonstrated at the margins. Thus, individuals with very low measured intelligence are most highly likely to fail in mainstream educational assignments. Similarly, the complete absence of schooling appears highly likely to lead to very low measured intelligence. In between, the effects of intelligence on educational success and the effects of schooling on intelligence become attenuated. It is clear, however, that measured intelligence is not fixed and constant. It appears that the effects of education on intelligence tend to be more marked with younger children than with adults. The factors that influence change in intelligence may be general, or they may be multifaceted, such as involving constellations of traits that are mutually supportive or impeding for intellectual development.",data/mutualism.pdf --> https://hackscience.education/wp-content/uploads/2022/05/Ackerman_CV_202205.pdf,0
8,52,R. L. Thorndike,g,1994,"Elaborates on the reality of the pervasive g as the general ability factor in cognitive performance, drawing a distinction between g as the purely empirical fact of an almost universally positive correlation between performance on different cognitive tasks and g as a psychological construct. The historical development of g is presented, using discussion and examples to affirm that the psychometric g exists and that it accounts for most of the prediction of educational and vocational criteria that is possible from a battery of tests of diverse and cognitive tasks. It is suggested that a more difficult task is to understand the essential nature of g. Overall discussion findings lead to the conclusion that the best measure of g will stem from a diverse set of cognitive tasks, chosen to call for relational thinking in a diversity of contexts.",data/mutualism.pdf --> https://nl.wikipedia.org/wiki/Edward_Thorndike,0
9,53,R. L. Thorndike,The measurement of intelligence,1927,"Existing instruments for measuring intellect² developed from three roots , the interview , the school examination , and the ' tests ' of sensory acuity, memory , attention , and the like , devised during the early history of psychology . The Stanford Binet , for example , is an improved , systematized and standardized interview . The Army Alpha is in part an improved school examination and in part an improved bat tery of tests like those used before 1900 by Galton , Ebbing haus , Cattell, Jastrow, and others . Existing instruments represent enormous improvements over what was available twenty years ago, but three funda mental defects remain . Just what they measure is not known ; how far it is proper to add , subtract , multiply , divide , and compute ratios with the measures obtained is not known ; just what the measures obtained signify concerning intellect is not known . We may refer to these defects in order as ambiguity in content , arbitrariness in units , and ambiguity in significance .",data/mutualism.pdf --> https://babel.hathitrust.org/cgi/pt?id=mdp.39015000265028,0
