Abstract Note,SOURCE,Title,Publication Year,Author,Abstract Note Length
,data/intelligence_addon.pdf,Education and g,2003,"P. L. Ackerman, D. F. Lohman",
,data/intelligence_addon.pdf,"The effects of cell compressibility, motility and contact inhibition on the growth of tumor cell clusters using the Cellular Potts Model.",2014,"jonathan f. li, j. lowengrub,",
,data/intelligence_addon.pdf,Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals,2018,"J. J. Lee, R. Wedow, A. Okbay, E. Kong, O. Maghzian, M. Zacher, D. Cesarini",
,data/intelligence_addon.pdf,Three representations of the Ising model,2016,"j. kruis, g. maris,",
,10.1016/j.neubiorev.2018.08.013,Intelligence and uncertainty: Implications of hierarchical predictive processing for the neuroscience of cognitive ability,2018.0,m. euler,
,10.1007/978-3-030-20843-1_2,Theories of Intelligence,2019.0,m. euler t. mckinney,
,data/intelligence_addon.pdf,MATHEMATICAL MECHANISMS OF PHASE TRANSITIONS.,1969,"m. kac,",
,10.1037/H0046743,Theory of fluid and crystallized intelligence: A critical experiment.,1963.0,r. cattell,
,data/intelligence_addon.pdf,Bayesian inference for low-rank Ising networks,2015,"m. marsman, g. maris, t. bechger, c. glas,",
,data/intelligence_addon.pdf,Interactive Specialization: A domain-general framework for human functional brain development?,2011,"mark h. johnson,",
,data/intelligence_addon.pdf,Beitrag zur Theorie des Ferromagnetismus,1925,"e. ising,",
,data/intelligence_addon.pdf,Refinement and test of the theory of fluid and crystallized general intelligences.,1966,"j. horn, r. cattell,",
,data/intelligence_addon.pdf,A hierarchy without a general factor,1916,"Thomson, G. H.",
,data/intelligence_addon.pdf,Genomic analysis of family data reveals additional genetic effects on intelligence and personality,2017,"w. hill, ruben c. arslan, ruben c. arslan, charley xia, m. luciano, c. amador, p. navarro, c. hayward, r. nagy, d. porteous, a. mcintosh, a. mcintosh, i. deary, c. haley, l. penke, l. penke,",
,data/intelligence_addon.pdf,Heterogeneity and State Dependence,1981,"j. heckman,",
,data/intelligence_addon.pdf,The organization of behavior,1949,D. O. Hebb,
,data/intelligence_addon.pdf,The random-cluster model,2006,G. Grimmett,
,data/intelligence_addon.pdf,Psychometric g: Definition and substantiation.,2002,"a. jensen,",
,10.1007/s11336-017-9557-x,Generalized Network Psychometrics: Combining Network and Latent Variable Models,2017.0,s. epskamp m. rhemtulla d. borsboom,
,data/intelligence_addon.pdf,A third source of developmental differences,1993,"p. molenaar, d. boomsma, c. dolan,",
,data/intelligence_addon.pdf,Mind in Society: The Development of Higher Psychological Processes: Harvard University Press,1978,"l. vygotsky,",
,data/intelligence_addon.pdf,The measurement of intelligence,1926,"Thorndike, E. L., Bregman, E. O., Cobb, M. V., & Woodyard, E.",
,data/intelligence_addon.pdf,Matthew effects in reading: Some consequences of individual differences in the acquisition of literacy.,1986,"k. stanovich,",
,data/intelligence_addon.pdf,A new look at domain specificity: insights from social neuroscience,2017,"robert p. spunt, r. adolphs,",
,data/intelligence_addon.pdf,"""THE ABILITIES OF MAN"".",1928,"e. s. conklin, c. spearman,",
,data/intelligence_addon.pdf,General intelligence Objectively Determined and Measured,1904,"c. spearman,",
,data/intelligence_addon.pdf,The architecture of complexity,1962,"Simon, H. A.",
,data/intelligence_addon.pdf,Do the smart get smarter? Development of fluid and crystallized intelligence in 3rd grade☆,2016,"u. schroeders, s. schipolowski, ingo zettler, jessika golle, o. wilhelm,",
,data/intelligence_addon.pdf,The Impact of Educational Attainment and Grade Retention on the Development of Intelligence,2016,"daniela sangme schalke-mandoux,",
,data/intelligence_addon.pdf,Primary mental abilities,1938,"Thurstone, L. L.",
,data/intelligence_addon.pdf,A theory of psychological components—an alternative to “mathematical factors.”,1935,"Tryon, R. C.",
,data/intelligence_addon.pdf,Dissecting the parieto-frontal correlates of fluid intelligence: A comprehensive ALE meta-analysis study,2017,"e. santarnecchi, alexandra k. emmendorfer, á. pascual-leone,",
,data/intelligence_addon.pdf,"Thurstone, L. L. (1887–1955). In R. J. Sternberg (Ed.), Encyclopedia of human intelligence",1994,"Ruzgis, P.",
,data/intelligence_addon.pdf,Developmental changes in mental arithmetic: Evidence for increased functional specialization in the left inferior parietal cortex,2005,"Rivera, S., Reiss, A., Eckert, M., & Menon, V.",
,data/intelligence_addon.pdf,Multidimensional item response theory,2009,"Reckase, M. D.",
,data/intelligence_addon.pdf,Computational mod-els of plant development and form,2012,"Prusinkiewicz, P., & Runions, A.",
,data/intelligence_addon.pdf,In search of Matthew effects in reading,2014,"Protopapas, A., Parrila, R., & Simos, P. G.",
,data/intelligence_addon.pdf,Genetics and intelligence differences: five special findings,2014,"r. plomin, i. deary,",
,data/intelligence_addon.pdf,Auxin transport is sufficient to generate a maximum and gradient guiding root growth,2007,"v. grieneisen, jian xu, a. f. marée, p. hogeweg, b. scheres,",
,data/intelligence_addon.pdf,An Inquiry into the Nature of Frequency Distributions Representative of Multiple Happenings with Particular Reference to the Occurrence of Multiple Attacks of Disease or of Repeated Accidents,1920,"m. greenwood, g. yule,",
